1 CAD = 0.74 USD, 2023-04-14 7:32:34 PM
1 CAD = 0.67 EUR, 2023-04-14 7:32:37 PM
1 CAD = 3.57 BRL, 2023-04-14 7:32:40 PM
10 BRL = 2.8 CAD, 2023-04-14 7:32:46 PM
10 BRL = 2.06 USD, 2023-04-14 7:32:49 PM
10 BRL = 1.87 EUR, 2023-04-14 7:32:51 PM
10 BRL = 1.7 GBP, 2023-04-14 7:32:53 PM
10 BRL = 2.8 CAD, 2023-04-16 1:29:05 PM
10 BRL = 1.87 EUR, 2023-04-16 1:29:12 PM
10 CAD = 7.35 USD, 2023-04-17 8:04:06 PM
10 CAD = 35.71 BRL, 2023-04-17 8:04:17 PM
1 USD = 4.86 BRL, 2023-04-18 12:14:37 PM
1 USD = 1.36 CAD, 2023-04-18 12:14:42 PM
1 CAD = 3.57 BRL, 2024-02-21 6:28:33 PM
